crime_type,latitude,longitude,incident_date,district,description
Theft,41.8812,-87.6291,2025-01-05,District 1,Wallet reported stolen near commercial area
Robbery,41.8794,-87.6312,2025-01-08,District 1,Suspect demanded property from pedestrian
Assault,41.8807,-87.6298,2025-01-12,District 1,Physical altercation resulting in minor injuries
Burglary,41.8789,-87.6305,2025-01-15,District 1,Unauthorized entry into business after hours
Vehicle Theft,41.8815,-87.6287,2025-01-19,District 1,Parked vehicle reported stolen
Theft,41.8803,-87.6311,2025-01-24,District 1,Mobile phone taken from unattended table
Robbery,41.8798,-87.6294,2025-01-28,District 1,Victim robbed while walking at night
Assault,41.8809,-87.6308,2025-02-02,District 1,Dispute escalated into assault
Burglary,41.8787,-87.6289,2025-02-06,District 1,Residential burglary under investigation
Vehicle Theft,41.8810,-87.6302,2025-02-10,District 1,Vehicle missing from parking lot
Theft,41.8792,-87.6310,2025-02-14,District 1,Bicycle reported stolen
Robbery,41.8805,-87.6288,2025-02-18,District 1,Personal belongings taken by force
Assault,41.8813,-87.6307,2025-02-22,District 1,Victim sustained non-life-threatening injuries
Burglary,41.8795,-87.6296,2025-02-26,District 1,Forced entry into apartment
Vehicle Theft,41.8808,-87.6313,2025-03-02,District 1,SUV reported stolen overnight
Theft,41.8788,-87.6301,2025-03-07,District 1,Store merchandise stolen
Robbery,41.8811,-87.6293,2025-03-12,District 1,Armed robbery investigation initiated
Assault,41.8799,-87.6309,2025-03-17,District 1,Assault reported near transit stop
Burglary,41.8804,-87.6286,2025-03-21,District 1,Break-in at office suite
Vehicle Theft,41.8814,-87.6310,2025-03-27,District 1,Sedan stolen from street parking
Theft,41.8708,-87.6492,2025-01-06,District 2,Backpack reported stolen
Robbery,41.8694,-87.6508,2025-01-11,District 2,Victim robbed near intersection
Assault,41.8705,-87.6511,2025-01-16,District 2,Physical confrontation reported
Burglary,41.8689,-87.6497,2025-01-20,District 2,Home burglary under investigation
Vehicle Theft,41.8712,-87.6504,2025-01-25,District 2,Vehicle taken without owner consent
Theft,41.8701,-87.6489,2025-01-30,District 2,Purse stolen from restaurant
Robbery,41.8698,-87.6513,2025-02-04,District 2,Suspect fled after robbery
Assault,41.8710,-87.6495,2025-02-08,District 2,Assault resulting from dispute
Burglary,41.8687,-87.6502,2025-02-13,District 2,Forced entry into residence
Vehicle Theft,41.8709,-87.6510,2025-02-17,District 2,Pickup truck reported stolen
Theft,41.8692,-87.6491,2025-02-21,District 2,Laptop stolen from vehicle
Robbery,41.8706,-87.6506,2025-02-25,District 2,Robbery reported near parking area
Assault,41.8714,-87.6488,2025-03-01,District 2,Victim treated for minor injuries
Burglary,41.8696,-87.6512,2025-03-05,District 2,Commercial burglary reported
Vehicle Theft,41.8703,-87.6498,2025-03-09,District 2,Motorcycle reported stolen
Theft,41.8688,-87.6505,2025-03-14,District 2,Theft of personal property
Robbery,41.8711,-87.6493,2025-03-18,District 2,Strong-arm robbery investigation
Assault,41.8699,-87.6509,2025-03-22,District 2,Assault reported by witness
Burglary,41.8707,-87.6487,2025-03-26,District 2,Apartment burglary reported
Vehicle Theft,41.8713,-87.6511,2025-03-30,District 2,Vehicle stolen from driveway
Theft,41.8509,-87.6194,2025-01-07,District 3,Cell phone stolen in public area
Robbery,41.8495,-87.6208,2025-01-10,District 3,Robbery reported near retail location
Assault,41.8506,-87.6211,2025-01-14,District 3,Assault following verbal dispute
Burglary,41.8489,-87.6198,2025-01-18,District 3,Residence entered unlawfully
Vehicle Theft,41.8512,-87.6203,2025-01-23,District 3,Vehicle theft under investigation
Theft,41.8501,-87.6189,2025-01-27,District 3,Personal belongings reported stolen
Robbery,41.8497,-87.6212,2025-02-01,District 3,Suspect took valuables by force
Assault,41.8510,-87.6196,2025-02-05,District 3,Assault occurred near parking area
Burglary,41.8488,-87.6201,2025-02-09,District 3,Forced entry into apartment
Vehicle Theft,41.8508,-87.6210,2025-02-12,District 3,Car reported stolen overnight
Theft,41.8491,-87.6192,2025-02-16,District 3,Wallet stolen from victim
Robbery,41.8504,-87.6207,2025-02-20,District 3,Robbery investigation opened
Assault,41.8513,-87.6188,2025-02-24,District 3,Physical assault reported
Burglary,41.8496,-87.6213,2025-02-28,District 3,Burglary at commercial property
Vehicle Theft,41.8502,-87.6197,2025-03-04,District 3,Vehicle missing from curbside parking
Theft,41.8487,-87.6204,2025-03-08,District 3,Theft of unattended property
Robbery,41.8511,-87.6193,2025-03-13,District 3,Victim reported robbery to police
Assault,41.8498,-87.6209,2025-03-19,District 3,Assault investigation ongoing
Burglary,41.8507,-87.6186,2025-03-24,District 3,Residential break-in reported
Vehicle Theft,41.8514,-87.6212,2025-03-29,District 3,Stolen vehicle entered into database
