crime_type,latitude,longitude,incident_date,district,description
Theft,41.8789,-87.6354,2025-01-03,1,Phone stolen from commuter near transit stop
Robbery,41.8817,-87.6278,2025-01-04,1,Victim approached and wallet taken by offender
Assault,41.8852,-87.6296,2025-01-05,1,Physical altercation reported outside venue
Theft,41.8764,-87.6247,2025-01-06,1,Bag reported stolen from parked vehicle
Burglary,41.8891,-87.6322,2025-01-07,18,Residential break-in during daytime hours
Vehicle Theft,41.8728,-87.6461,2025-01-08,12,Vehicle reported stolen from street parking
Theft,41.8954,-87.6358,2025-01-09,18,Unattended bicycle taken from rack
Robbery,41.9002,-87.6341,2025-01-10,18,Offender demanded cash and fled
Assault,41.9038,-87.6387,2025-01-11,18,Fight between individuals resulted in injuries
Theft,41.8977,-87.6285,2025-01-12,18,Shoplifting incident reported by retailer
Vehicle Theft,41.9108,-87.6494,2025-01-13,19,SUV stolen overnight from curbside location
Burglary,41.9146,-87.6521,2025-01-14,19,Forced entry into apartment reported
Theft,41.9072,-87.6568,2025-01-15,19,Package theft from residential porch
Assault,41.9195,-87.6443,2025-01-16,19,Victim struck during dispute
Robbery,41.9258,-87.6497,2025-01-17,19,Personal belongings taken by unknown offender
Theft,41.9418,-87.6534,2025-01-18,19,Phone stolen in crowded entertainment area
Vehicle Theft,41.9472,-87.6556,2025-01-19,19,Sedan stolen from parking lot
Burglary,41.9386,-87.6681,2025-01-20,19,Home burglary reported while occupants away
Theft,41.9311,-87.6635,2025-01-21,19,Bicycle theft from residential building
Assault,41.9447,-87.6712,2025-01-22,19,Assault reported after verbal confrontation
Theft,41.7782,-87.6407,2025-01-23,7,Wallet stolen near commercial corridor
Robbery,41.7719,-87.6342,2025-01-24,7,Victim robbed while walking at night
Assault,41.7648,-87.6291,2025-01-25,7,Physical assault reported on sidewalk
Burglary,41.7564,-87.6388,2025-01-26,7,Rear door forced open at residence
Vehicle Theft,41.7493,-87.6325,2025-01-27,7,Vehicle stolen from residential street
Theft,41.7824,-87.6236,2025-01-28,2,Personal items taken from parked car
Robbery,41.7755,-87.6187,2025-01-29,2,Strong-arm robbery reported
Assault,41.7692,-87.6154,2025-01-30,2,Victim sustained minor injuries in attack
Theft,41.7608,-87.6129,2025-01-31,2,Store reported merchandise theft
Vehicle Theft,41.7531,-87.6086,2025-02-01,2,Vehicle reported missing from lot
Burglary,41.7449,-87.6023,2025-02-02,2,Residential burglary under investigation
Theft,41.7364,-87.5968,2025-02-03,2,Package stolen from apartment lobby
Assault,41.7298,-87.5907,2025-02-04,2,Assault incident reported near intersection
Robbery,41.7237,-87.5842,2025-02-05,2,Victim robbed of cash and phone
Vehicle Theft,41.7175,-87.5789,2025-02-06,2,Car stolen during overnight hours
Theft,41.8947,-87.7103,2025-02-07,11,Phone stolen near bus stop
